rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56501723391659E+018,2,0,11,"""ROBOT""",,1565017233,905496880,'',,1565017231,455876613,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,16.053633351167996,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501723391659E+018,2,0,12,"""ROBOT""",,1565017233,905496880,'',,1565017231,455876613,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,16.053633351167996,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501723680099E+018,2,0,13,"""ROBOT""",,1565017236,788738863,'',,1565017236,730865137,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,21.368687636351993,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501723932969E+018,2,0,14,"""ROBOT""",,1565017239,318003652,'',,1565017239,195450270,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,21.368687636351993,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5650172423728E+018,2,0,15,"""ROBOT""",,1565017242,360482452,'',,1565017240,726468961,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,21.368687636351993,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501724677646E+018,2,0,16,"""ROBOT""",,1565017245,759124505,'',,1565017243,749712595,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,21.368687636351993,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501724677646E+018,2,0,17,"""ROBOT""",,1565017245,759124505,'',,1565017243,749712595,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,21.368687636351993,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501725073012E+018,2,0,18,"""ROBOT""",,1565017250,718100748,'',,1565017249,591339239,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,26.07698797876079,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5650172522416E+018,2,0,19,"""ROBOT""",,1565017252,229866512,'',,1565017252,123643090,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,26.07698797876079,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501726017569E+018,2,0,20,"""ROBOT""",,1565017254,308075209,'',,1565017253,642244930,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,26.07698797876079,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501726017569E+018,2,0,21,"""ROBOT""",,1565017254,308075209,'',,1565017253,642244930,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,26.07698797876079,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501726307896E+018,2,0,22,"""ROBOT""",,1565017263,67435558,'',,1565017263,10253251,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,30.69112231432141,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501726562376E+018,2,0,23,"""ROBOT""",,1565017265,610674476,'',,1565017265,483915968,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,30.69112231432141,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501726755186E+018,2,0,24,"""ROBOT""",,1565017267,537621033,'',,1565017267,19736505,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,30.69112231432141,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501727065233E+018,2,0,25,"""ROBOT""",,1565017270,640061991,'',,1565017268,911971723,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,30.69112231432141,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5650172756918E+018,2,0,26,"""ROBOT""",,1565017275,679999589,'',,1565017272,31800110,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,30.69112231432141,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501727720649E+018,2,0,27,"""ROBOT""",,1565017277,195247092,'',,1565017277,65539213,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,30.69112231432141,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501729062128E+018,2,0,28,"""ROBOT""",,1565017290,610136330,'',,1565017278,592205846,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,34.38580433337588,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.565017293189E+018,2,0,29,"""ROBOT""",,1565017293,177069836,'',,1565017293,6202599,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,34.38580433337588,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.565017293189E+018,2,0,30,"""ROBOT""",,1565017293,177069836,'',,1565017293,6202599,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,34.38580433337588,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
