task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
201,5.88,722.2599547000007,3.5933331079602024,66.66666666666666,0,45.0,0.22388059701492538,2
202,5.7624,728.0223547000006,3.60407106287129,66.66666666666666,0,45.0,0.22277227722772278,2
203,2.59995,730.6223047000007,3.5991246536945845,42.857142857142854,1,46.0,0.22660098522167488,2
204,5.88,736.5023047000006,3.610305415196082,66.66666666666666,0,46.0,0.22549019607843138,2
205,5.88,742.3823047000006,3.621377096097564,66.66666666666666,0,46.0,0.22439024390243903,2
206,5.7624,748.1447047000006,3.6317704111650513,50.0,0,46.0,0.22330097087378642,2
207,5.31505,753.4597547000006,3.6399021966183605,37.5,0,46.0,0.2222222222222222,2
208,4.48233,757.9420847000007,3.6439523302884647,57.14285714285714,1,47.0,0.22596153846153846,2
209,5.88,763.8220847000007,3.6546511229665106,66.66666666666666,0,47.0,0.22488038277511962,2
210,5.20875,769.0308347000007,3.6620515938095273,22.22222222222222,0,47.0,0.22380952380952382,2
211,5.88,774.9108347000007,3.672563197630335,66.66666666666666,0,47.0,0.22274881516587677,2
212,5.88,780.7908347000007,3.6829756353773617,66.66666666666666,0,47.0,0.22169811320754718,2
213,5.64715,786.4379847000007,3.692197111267609,80.0,0,47.0,0.22065727699530516,2
214,5.10458,791.5425647000008,3.698797031308415,10.0,0,47.0,0.21962616822429906,2
215,5.88,797.4225647000007,3.708942161395352,66.66666666666666,0,47.0,0.2186046511627907,2
216,5.7624,803.1849647000007,3.7184489106481515,50.0,0,47.0,0.2175925925925926,2
217,5.7624,808.9473647000007,3.727868040092169,75.0,0,47.0,0.21658986175115208,2
218,5.7624,814.7097647000006,3.73720075550459,50.0,0,47.0,0.21559633027522937,2
219,5.31505,820.0248147000007,3.7444055465753454,12.5,0,47.0,0.2146118721461187,2
220,3.36364,823.3884547000007,3.742674794090912,22.22222222222222,2,49.0,0.22272727272727272,2
221,5.7624,829.1508547000007,3.7518138221719486,75.0,0,49.0,0.22171945701357465,2
222,5.64715,834.7980047000007,3.7603513725225257,80.0,0,49.0,0.22072072072072071,2
223,5.88,840.6780047000007,3.7698565233183885,66.66666666666666,0,49.0,0.21973094170403587,2
224,4.48233,845.1603347000007,3.773037208482146,14.285714285714285,1,50.0,0.22321428571428573,2
225,5.88,851.0403347000007,3.7824014875555587,33.33333333333333,0,50.0,0.2222222222222222,2
226,5.7624,856.8027347000007,3.791162542920357,66.66666666666666,0,50.0,0.22123893805309736,2
227,5.88,862.6827347000007,3.8003644700440558,33.33333333333333,0,50.0,0.22026431718061673,2
228,5.42352,868.1062547000007,3.807483573245617,28.57142857142857,0,50.0,0.21929824561403508,2
229,5.88,873.9862547000007,3.81653386331878,66.66666666666666,0,50.0,0.2183406113537118,2
230,5.20875,879.1950047000007,3.822586976956525,25.0,0,50.0,0.21739130434782608,5
231,5.88,885.0750047000007,3.83149352683983,66.66666666666666,0,50.0,0.21645021645021645,5
232,5.20875,890.2837547000007,3.8374299771551756,33.33333333333333,0,50.0,0.21551724137931033,5
233,5.88,896.1637547000007,3.8461963721030075,66.66666666666666,0,50.0,0.2145922746781116,5
234,5.7624,901.9261547000007,3.854385276495729,50.0,0,50.0,0.21367521367521367,5
235,5.42352,907.3496747000007,3.861062445531918,14.285714285714285,0,50.0,0.2127659574468085,5
236,5.88,913.2296747000007,3.8696172656779693,66.66666666666666,0,50.0,0.211864406779661,5
237,5.88,919.1096747000007,3.8780998932489483,66.66666666666666,0,50.0,0.2109704641350211,5
238,-0.0531505,919.0565242000007,3.8615820344537846,11.11111111111111,1,51.0,0.21428571428571427,5
239,5.88,924.9365242000007,3.870027297907953,66.66666666666666,0,51.0,0.21338912133891214,5
240,2.94,927.8765242000007,3.86615218416667,33.33333333333333,0,51.0,0.2125,5
241,-0.162728,927.7137962000007,3.8494348390041524,22.22222222222222,1,52.0,0.2157676348547718,5
242,5.88,933.5937962000007,3.8578256041322345,66.66666666666666,0,52.0,0.21487603305785125,5
243,5.88,939.4737962000007,3.8661473094650236,66.66666666666666,0,52.0,0.2139917695473251,5
244,5.88,945.3537962000007,3.8744008040983635,66.66666666666666,0,52.0,0.21311475409836064,5
245,5.31505,950.6688462000008,3.880281004897962,25.0,0,52.0,0.21224489795918366,5
246,5.20875,955.8775962000008,3.8856812853658567,33.33333333333333,0,52.0,0.21138211382113822,5
247,-6.1669,949.7106962000007,3.8449825757085048,40.0,2,54.0,0.21862348178137653,5
248,5.88,955.5906962000007,3.853188291129035,66.66666666666666,0,54.0,0.21774193548387097,5
249,5.42352,961.0142162000008,3.85949484417671,14.285714285714285,0,54.0,0.21686746987951808,5
250,-0.159473,960.8547432000007,3.843418972800003,20.0,1,55.0,0.22,5
251,-4.37932,956.4754232000007,3.810659056573708,27.27272727272727,1,56.0,0.22310756972111553,5
252,-3.5799,952.8955232000008,3.7813314412698444,50.0,0,56.0,0.2222222222222222,5
253,5.88,958.7755232000007,3.7896265739130466,100.0,0,56.0,0.22134387351778656,5
254,-6.45881,952.3167132000008,3.7492783984252,44.44444444444444,2,58.0,0.2283464566929134,5
255,-0.850763,951.4659502000007,3.73123902039216,30.0,0,58.0,0.22745098039215686,6
256,5.88,957.3459502000007,3.739632617968753,100.0,0,58.0,0.2265625,6
257,5.53421,962.8801602000008,3.746615409338524,66.66666666666666,0,58.0,0.22568093385214008,6
258,5.88,968.7601602000008,3.754884341860468,100.0,0,58.0,0.2248062015503876,6
259,4.37386,973.1340202000008,3.7572742092664124,62.5,0,58.0,0.22393822393822393,6
260,4.59302,977.7270402000008,3.7604886161538493,83.33333333333334,0,58.0,0.2230769230769231,6
261,2.49699,980.2240302000008,3.7556476252873594,22.22222222222222,1,59.0,0.2260536398467433,6
262,2.54795,982.7719802000008,3.7510380923664153,37.5,1,60.0,0.22900763358778625,6
263,4.37386,987.1458402000009,3.7534062365019043,62.5,0,60.0,0.22813688212927757,6
264,5.7624,992.9082402000008,3.7610160613636396,100.0,0,60.0,0.22727272727272727,6
265,5.88,998.7882402000008,3.7690122271698145,100.0,0,60.0,0.22641509433962265,6
266,-3.61793,995.1703102000008,3.741241767669176,50.0,0,60.0,0.22556390977443608,6
