task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
333,1538348692,123334944,1538348734,77931680,42.65598201751709,28.343400327293008,1,0.8768768768768769,"""robot"""
334,1538348757,357218421,1538348796,78126292,39.424044370651245,28.376575908261145,1,0.8772455089820359,"""robot"""
335,1538348807,702460494,1538348833,78036508,26.07790446281433,28.369714202453842,1,0.8776119402985074,"""robot"""
336,1538348851,775644027,1538348859,78296574,8.00732159614563,28.309111843506496,1,0.8779761904761905,"""human"""
337,1538348875,985753139,1538348883,78214422,7.796391248703003,28.248243236400253,1,0.8783382789317508,"""human"""
338,1538348900,589358174,1538348941,77984828,41.19049024581909,28.286533908025753,1,0.878698224852071,"""robot"""
339,1538348953,65869862,1538348960,78791359,7.1292150020599365,28.224122937801663,1,0.8790560471976401,"""human"""
340,1538348976,586228967,1538348997,78636233,21.200133323669434,28.203464144818923,1,0.8794117647058823,"""human"""
341,1538349012,607118071,1538349064,962059815,52.354941606521606,28.27428959192069,0,0.8768328445747801,''
342,1538349080,496595538,1538349133,278521394,52.781925678253174,28.345949346559088,1,0.8771929824561403,"""robot"""
343,1538349152,360497392,1538349159,78270224,7.4222047328948975,28.28494717567377,1,0.8775510204081632,"""human"""
344,1538349175,272053014,1538349201,77893614,26.506883144378662,28.279778384885123,1,0.877906976744186,"""robot"""
345,1538349217,257858675,1538349260,78385686,43.52599811553955,28.323970326133395,1,0.8782608695652174,"""robot"""
346,1538349285,698312981,1538349338,277107540,52.57879447937012,28.394070973975122,1,0.8786127167630058,"""robot"""
347,1538349350,829668192,1538349376,77960333,25.94993495941162,28.38702735433661,1,0.8789625360230547,"""robot"""
348,1538349386,756213509,1538349439,312060936,52.55584740638733,28.456477986670087,1,0.8793103448275862,"""robot"""
349,1538349457,821841354,1538349484,77865483,26.95681357383728,28.45218095396856,1,0.8796561604584527,"""robot"""
350,1538349500,909919245,1538349517,78451879,16.87459945678711,28.4191021496909,1,0.88,"""human"""
351,1538349533,239805598,1538349544,78301825,11.543212652206421,28.37102269243311,1,0.8803418803418803,"""human"""
352,1538349559,646172023,1538349576,78298684,17.136814832687378,28.339107329195198,1,0.8806818181818182,"""human"""
353,1538349592,234850351,1538349599,78378597,7.548935651779175,28.28021165872093,1,0.8810198300283286,"""human"""
354,1538349615,426146666,1538349632,78324619,17.357099533081055,28.249355409778445,1,0.8813559322033898,"""human"""
355,1538349648,941715338,1538349656,78364287,7.841927528381348,28.19186969743648,1,0.8816901408450705,"""human"""
356,1538349672,134825025,1538349683,78371298,11.648887872695923,28.145400647366984,1,0.8820224719101124,"""human"""
357,1538349699,623655955,1538349707,78222210,8.158565998077393,28.089415116136482,1,0.8823529411764706,"""human"""
358,1538349728,51749578,1538349735,78217692,7.264681100845337,28.031245468049075,1,0.88268156424581,"""human"""
359,1538349751,453795226,1538349758,78311641,7.3293211460113525,27.97357994068964,1,0.883008356545961,"""human"""
