rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.5358228499832E+018,3,3,"""ROBOT""",,1535822849,982064395,'',,1535822849,852772965,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582285340442E+018,3,3,"""OBSERVATION""",,1535822853,402779156,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582285502093E+018,3,3,"""HUMAN""",,1535822855,18512271,"""distracted_collaborative.POMDPx""",,1535822851,63883712,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582285503115E+018,3,4,"""ROBOT""",,1535822855,30053111,'',,1535822854,673270426,"""planning for grasping""","""NeedsToBeReminded""","""NeedsToBeReminded""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.5358228582541E+018,3,4,"""OBSERVATION""",,1535822858,252780052,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.5358228597316E+018,3,4,"""HUMAN""",,1535822859,728978212,"""distracted_collaborative.POMDPx""",,1535822856,92566386,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582285974394E+018,3,5,"""ROBOT""",,1535822859,742663358,'',,1535822859,530483065,"""point to remind""","""NeedsToBeReminded""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582287268722E+018,3,5,"""OBSERVATION""",,1535822872,686100399,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','','',''
1.5358228741318E+018,3,5,"""HUMAN""",,1535822874,129705946,"""distracted_collaborative.POMDPx""",,1535822860,804869032,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
1.53582287414114E+018,3,6,"""ROBOT""",,1535822874,140147236,'',,1535822873,967648377,"""planning for grasping""","""NeedsHelp""","""MayNotBeCapable""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""-0.9604"""
1.53582288595284E+018,3,6,"""SENSORS""",,1535822885,952655241,'',,0,0,'','','',False,0,'','',[],"""FAIL""",'','','',''
1.5358228859544E+018,3,6,"""OBSERVATION""",,1535822881,219333090,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582288749855E+018,3,6,"""HUMAN""",,1535822887,496311535,"""distracted_collaborative.POMDPx""",,1535822875,206458290,"""1""","""FailedToGrasp""","""FailedToGrasp""",True,0,'','',[],'','','','',''
1.53582288750822E+018,3,7,"""ROBOT""",,1535822887,507287324,'',,1535822887,230196766,"""grasp""","""NeedsHelp""","""GlobalFail""",False,0,'','',[],'','',"""base.pomdpx""","""-3""","""-3.56478"""
1.53582288751783E+018,3,7,"""HUMAN""",,1535822887,515166838,"""distracted_collaborative.POMDPx""",,1535822875,206458290,"""1""","""FailedToGrasp""","""GlobalFail""",False,0,'','',[],'','','','',''
1.53582289805016E+018,4,0,"""MANAGER""",,1535822898,49989287,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582289922324E+018,4,0,"""ROBOT""",,1535822899,221466440,'',,1535822899,219368962,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""-3""","""-3.56478"""
1.53582290357132E+018,4,0,"""OBSERVATION""",,1535822903,569871365,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582290517547E+018,4,0,"""HUMAN""",,1535822905,172355437,"""distracted_collaborative.POMDPx""",,1535822898,957902003,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','',''
1.53582290518197E+018,4,1,"""ROBOT""",,1535822905,180961614,'',,1535822904,817642789,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582291862071E+018,4,1,"""OBSERVATION""",,1535822918,619381947,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, True, False, False]","""ONGOING""",'','','',''
1.53582291990963E+018,4,1,"""HUMAN""",,1535822919,907207665,"""distracted_collaborative.POMDPx""",,1535822906,250184039,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
1.53582291991804E+018,4,2,"""ROBOT""",,1535822919,916834454,'',,1535822919,898094208,"""idle""","""NoNeedHelp""","""MayNotBeCapable""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582292367106E+018,4,2,"""OBSERVATION""",,1535822923,669499667,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582292513924E+018,4,2,"""HUMAN""",,1535822925,136790570,"""distracted_collaborative.POMDPx""",,1535822920,994738552,"""2""","""FailedToGrasp""","""FailedToGrasp""",True,0,'','',[],'','','','',''
1.53582292514729E+018,4,3,"""ROBOT""",,1535822925,146302772,'',,1535822924,934397985,"""planning for grasping""","""MayNotBeCapable""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582292807112E+018,4,3,"""OBSERVATION""",,1535822928,69860114,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582292958076E+018,4,3,"""HUMAN""",,1535822929,578143203,"""distracted_collaborative.POMDPx""",,1535822926,217346818,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582292959174E+018,4,4,"""ROBOT""",,1535822929,590784962,'',,1535822929,345956597,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.5358229329544E+018,4,4,"""OBSERVATION""",,1535822932,953158489,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582293447167E+018,4,4,"""HUMAN""",,1535822934,469244668,"""distracted_collaborative.POMDPx""",,1535822930,650869329,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582293447739E+018,4,5,"""ROBOT""",,1535822934,476327417,'',,1535822934,212255248,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582293718746E+018,4,5,"""OBSERVATION""",,1535822937,186066648,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582293875017E+018,4,5,"""HUMAN""",,1535822938,747651457,"""distracted_collaborative.POMDPx""",,1535822935,543067725,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582293876006E+018,4,6,"""ROBOT""",,1535822938,759023692,'',,1535822938,479315242,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582294060418E+018,4,6,"""SENSORS""",,1535822940,603985381,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582294167119E+018,4,6,"""OBSERVATION""",,1535822941,669867449,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582295042085E+018,4,6,"""HUMAN""",,1535822943,280463004,"""distracted_collaborative.POMDPx""",,1535822939,834334817,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582295042931E+018,4,7,"""ROBOT""",,1535822950,428465967,'',,1535822942,971301635,"""planning for grasping""","""MayBeTired""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582295043836E+018,4,7,"""HUMAN""",,1535822950,435384219,"""distracted_collaborative.POMDPx""",,1535822939,834334817,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','',''
1.53582296117156E+018,5,0,"""MANAGER""",,1535822961,171326686,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582296234823E+018,5,0,"""ROBOT""",,1535822962,346304138,'',,1535822962,343853448,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582296697144E+018,5,0,"""OBSERVATION""",,1535822966,970189542,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.5358229685364E+018,5,0,"""HUMAN""",,1535822968,533446669,"""distracted_collaborative.POMDPx""",,1535822962,28989494,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','',''
1.53582296854778E+018,5,1,"""ROBOT""",,1535822968,546724915,'',,1535822968,215993277,"""planning for grasping""","""NoFocus""","""NoFocus""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582297275412E+018,5,1,"""OBSERVATION""",,1535822972,752726482,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582297401953E+018,5,1,"""HUMAN""",,1535822974,16884647,"""distracted_collaborative.POMDPx""",,1535822969,624280141,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582297402948E+018,5,2,"""ROBOT""",,1535822974,28380067,'',,1535822974,251986,"""idle""","""TaskHuman""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582297725412E+018,5,2,"""OBSERVATION""",,1535822977,252739315,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582297870421E+018,5,2,"""HUMAN""",,1535822978,701737529,"""distracted_collaborative.POMDPx""",,1535822975,108086528,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582297871739E+018,5,3,"""ROBOT""",,1535822978,716424098,'',,1535822978,529565152,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582298443728E+018,5,3,"""OBSERVATION""",,1535822984,436026993,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582298579702E+018,5,3,"""HUMAN""",,1535822985,794773408,"""distracted_collaborative.POMDPx""",,1535822979,778959975,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.53582298580751E+018,5,4,"""ROBOT""",,1535822985,806287506,'',,1535822985,716640120,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
